detid_Y,M_0011_0308,M_0015_0159,M_0032_0323,M_0037_0038,M_0037_0779_0039_U,M_0038_0037,M_0038_0191,M_0039_0038,M_0108_0478_0479,M_0191_0038,M_0191_0852,M_0308_0011,M_0323_0032,M_0821_0159,M_0821_0190,M_0852_0191
M_0011_0308,0.00,1228.63,1644.70,1038.40,1038.40,1038.40,938.83,1298.09,3063.82,938.83,384.90,0.00,1644.70,953.32,953.32,384.90
M_0015_0159,1324.58,0.00,2186.72,1580.41,1580.41,1580.41,1208.05,1840.10,3864.41,1208.05,939.68,1324.58,2186.72,809.86,809.86,939.68
M_0032_0323,1612.04,2337.20,0.00,1067.00,1067.00,1067.00,1499.56,562.39,3440.11,1499.56,1533.34,1612.04,0.00,1839.21,1839.21,1533.34
M_0037_0038,874.24,1270.20,1280.63,0.00,0.00,0.00,432.56,934.01,3938.06,432.56,489.35,874.24,1280.63,772.21,772.21,489.35
M_0037_0779_0039_U,874.24,1270.20,1280.63,0.00,0.00,0.00,432.56,934.01,3938.06,432.56,489.35,874.24,1280.63,772.21,772.21,489.35
M_0038_0037,874.24,1270.20,1280.63,0.00,0.00,0.00,432.56,934.01,3938.06,432.56,489.35,874.24,1280.63,772.21,772.21,489.35
M_0038_0191,938.83,1334.78,1505.36,846.31,846.31,846.31,0.00,1158.74,4002.65,0.00,553.93,938.83,1505.36,836.80,836.80,553.93
M_0039_0038,1299.97,1774.81,555.32,504.61,504.61,504.61,937.17,0.00,3864.08,937.17,993.96,1299.97,555.32,1276.82,1276.82,993.96
M_0108_0478_0479,3080.90,3546.71,3511.80,4069.73,4069.73,4069.73,4019.73,3776.63,0.00,4019.73,3465.80,3080.90,3511.80,4034.23,4034.23,3465.80
M_0191_0038,938.83,1334.78,1505.36,846.31,846.31,846.31,0.00,1158.74,4002.65,0.00,553.93,938.83,1505.36,836.80,836.80,553.93
M_0191_0852,384.90,1066.41,1483.57,877.27,877.27,877.27,553.93,1136.95,3448.72,553.93,0.00,384.90,1483.57,568.42,568.42,0.00
M_0308_0011,0.00,1228.63,1644.70,1038.40,1038.40,1038.40,938.83,1298.09,3063.82,938.83,384.90,0.00,1644.70,953.32,953.32,384.90
M_0323_0032,1612.04,2337.20,0.00,1067.00,1067.00,1067.00,1499.56,562.39,3440.11,1499.56,1533.34,1612.04,0.00,1839.21,1839.21,1533.34
M_0821_0159,1436.96,497.99,2299.10,1692.80,1692.80,1692.80,1320.43,1952.49,3955.09,1320.43,1052.06,1436.96,2299.10,0.00,0.00,1052.06
M_0821_0190,1436.96,497.99,2299.10,1692.80,1692.80,1692.80,1320.43,1952.49,3955.09,1320.43,1052.06,1436.96,2299.10,0.00,0.00,1052.06
M_0852_0191,384.90,1066.41,1483.57,877.27,877.27,877.27,553.93,1136.95,3448.72,553.93,0.00,384.90,1483.57,568.42,568.42,0.00
